season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2023,SP Narine,Kolkata Knight Riders,25,21,2,1,84.0
2023,YBK Jaiswal,Rajasthan Royals,381,619,83,25,162.47
2023,D Padikkal,Rajasthan Royals,200,261,31,6,130.5
2023,Abhishek Sharma,Sunrisers Hyderabad,156,225,28,6,144.23
2023,HC Brook,Sunrisers Hyderabad,153,186,22,4,121.57
2023,AU Rashid,Sunrisers Hyderabad,15,21,2,1,140.0
2016,DA Miller,Kings XI Punjab,130,157,10,4,120.77
2016,S Dhawan,Sunrisers Hyderabad,427,497,50,8,116.39
2016,Sandeep Sharma,Kings XI Punjab,9,8,0,0,88.89
2016,D Wiese,Royal Challengers Bangalore,4,5,0,0,125.0
2016,N Rana,Mumbai Indians,74,100,6,8,135.14
2016,CJ Jordan,Royal Challengers Bangalore,4,3,0,0,75.0
2017,STR Binny,Royal Challengers Bangalore,76,78,6,3,102.63
2017,SK Raina,Gujarat Lions,304,438,41,13,144.08
2017,CH Morris,Delhi Daredevils,94,154,15,6,163.83
2017,S Nadeem,Delhi Daredevils,9,2,0,0,22.22
2017,AB Dinda,Rising Pune Supergiant,7,7,1,0,100.0
2017,JD Unadkat,Rising Pune Supergiant,5,2,0,0,40.0
2017,AJ Tye,Gujarat Lions,29,53,4,3,182.76
2017,KS Williamson,Sunrisers Hyderabad,168,256,20,10,152.38
2017,JJ Bumrah,Mumbai Indians,12,16,0,1,133.33
2017,S Kaul,Sunrisers Hyderabad,2,0,0,0,0.0
2018,HH Pandya,Mumbai Indians,195,260,20,11,133.33
2018,DL Chahar,Chennai Super Kings,29,50,1,4,172.41
2018,G Gambhir,Delhi Daredevils,88,85,8,1,96.59
2018,CH Morris,Delhi Daredevils,26,46,3,2,176.92
2018,Yuvraj Singh,Kings XI Punjab,73,65,6,2,89.04
2018,V Kohli,Royal Challengers Bangalore,379,529,52,18,139.58
2018,KD Karthik,Kolkata Knight Riders,336,498,49,16,148.21
2018,Shakib Al Hasan,Sunrisers Hyderabad,195,235,25,5,120.51
2018,Sandeep Sharma,Sunrisers Hyderabad,4,0,0,0,0.0
2018,A Mishra,Delhi Daredevils,2,1,0,0,50.0
2018,Kuldeep Yadav,Kolkata Knight Riders,24,12,1,0,50.0
2019,SR Watson,Chennai Super Kings,311,398,42,20,127.97
2019,S Dhawan,Delhi Capitals,382,520,64,11,136.13
2019,KL Rahul,Kings XI Punjab,437,592,49,25,135.47
2019,NS Naik,Kolkata Knight Riders,16,7,1,0,43.75
2019,S Kaul,Sunrisers Hyderabad,1,0,0,0,0.0
2019,Mujeeb Ur Rahman,Kings XI Punjab,4,0,0,0,0.0
2019,SW Billings,Chennai Super Kings,4,0,0,0,0.0
2019,DR Shorey,Chennai Super Kings,8,5,0,0,62.5
2019,MK Lomror,Rajasthan Royals,3,8,2,0,266.67
2020/21,MA Agarwal,Kings XI Punjab,272,432,46,15,158.82
2020/21,D Padikkal,Royal Challengers Bangalore,378,472,51,8,124.87
2020/21,PJ Cummins,Kolkata Knight Riders,114,146,9,8,128.07
2020/21,SN Thakur,Chennai Super Kings,21,12,0,0,57.14
2020/21,T Banton,Kolkata Knight Riders,20,18,1,1,90.0
2020/21,LH Ferguson,Kolkata Knight Riders,29,43,4,1,148.28
2020/21,DS Kulkarni,Mumbai Indians,2,3,0,0,150.0
2021,GJ Maxwell,Royal Challengers Bangalore,354,513,48,21,144.92
2021,MS Dhoni,Chennai Super Kings,107,114,12,3,106.54
2021,MP Stoinis,Delhi Capitals,71,89,11,1,125.35
2021,Shakib Al Hasan,Kolkata Knight Riders,48,47,3,1,97.92
2021,DJ Hooda,Punjab Kings,121,155,8,9,128.1
2021,R Parag,Rajasthan Royals,82,93,6,4,113.41
2021,Q de Kock,Mumbai Indians,255,296,29,7,116.08
2021,MC Henriques,Punjab Kings,32,31,0,1,96.88
2021,DL Chahar,Chennai Super Kings,1,1,0,0,100.0
2021,Avesh Khan,Delhi Capitals,3,5,1,0,166.67
2021,Mandeep Singh,Punjab Kings,13,15,2,0,115.38
2021,LH Ferguson,Kolkata Knight Riders,10,14,0,1,140.0
2022,Anmolpreet Singh,Mumbai Indians,13,13,1,0,100.0
2022,PP Shaw,Delhi Capitals,184,283,37,10,153.8
2022,R Powell,Delhi Capitals,167,250,10,22,149.7
2022,S Dhawan,Punjab Kings,372,459,47,12,123.39
2022,KS Williamson,Sunrisers Hyderabad,231,216,16,8,93.51
2022,AK Markram,Sunrisers Hyderabad,273,381,25,19,139.56
2022,Rasikh Salam,Kolkata Knight Riders,6,7,1,0,116.67
2022,K Gowtham,Lucknow Super Giants,1,0,0,0,0.0
2022,Mohammed Siraj,Royal Challengers Bangalore,33,30,5,0,90.91
2022,JR Hazlewood,Royal Challengers Bangalore,26,18,1,0,69.23
2022,B Indrajith,Kolkata Knight Riders,30,21,2,0,70.0
2022,PJ Sangwan,Gujarat Titans,5,2,0,0,40.0
2022,A Nortje,Delhi Capitals,6,1,0,0,16.67
2023,MG Bracewell,Royal Challengers Bangalore,47,58,6,1,123.4
2023,AM Rahane,Chennai Super Kings,189,326,24,16,172.49
2023,Avesh Khan,Lucknow Super Giants,1,0,0,0,0.0
2023,Arjun Tendulkar,Mumbai Indians,9,13,0,1,144.44
2023,CJ Jordan,Mumbai Indians,12,6,0,0,50.0
2024,YBK Jaiswal,Rajasthan Royals,278,434,54,16,156.12
2024,AM Rahane,Chennai Super Kings,196,242,24,7,123.47
2024,DJ Mitchell,Chennai Super Kings,223,318,27,10,142.6
2025,PJ Cummins,Sunrisers Hyderabad,58,97,6,7,167.24
2025,Naman Dhir,Mumbai Indians,138,252,25,13,182.61
2025,SN Thakur,Lucknow Super Giants,12,18,3,0,150.0
2025,J Fraser-McGurk,Delhi Capitals,52,55,7,2,105.77
2025,P Simran Singh,Punjab Kings,368,598,63,30,162.5
2024,DG Nalkande,Gujarat Titans,11,12,0,1,109.09
