season,batter,batting_team,balls_faced,total_runs,fours,sixes,strike_rate
2012,DJ Bravo,Chennai Super Kings,262,367,19,20,140.08
2012,R Ashwin,Chennai Super Kings,15,18,2,0,120.0
2012,AT Rayudu,Mumbai Indians,252,333,21,14,132.14
2012,B Lee,Kolkata Knight Riders,20,42,2,4,210.0
2012,AJ Finch,Delhi Daredevils,51,55,8,0,107.84
2012,P Kumar,Kings XI Punjab,29,35,2,1,120.69
2012,Y Venugopal Rao,Delhi Daredevils,126,132,8,5,104.76
2012,DB Ravi Teja,Deccan Chargers,4,4,1,0,100.0
2012,KMDN Kulasekara,Chennai Super Kings,3,5,1,0,166.67
2012,MEK Hussey,Chennai Super Kings,236,261,28,8,110.59
2012,CA Lynn,Deccan Chargers,9,6,1,0,66.67
2012,Sunny Gupta,Delhi Daredevils,1,0,0,0,0.0
2013,AD Russell,Delhi Daredevils,14,11,0,0,78.57
2013,YK Pathan,Kolkata Knight Riders,239,331,30,15,138.49
2013,SR Tendulkar,Mumbai Indians,231,287,39,5,124.24
2013,KC Sangakkara,Sunrisers Hyderabad,136,120,13,0,88.24
2013,RV Uthappa,Pune Warriors,368,430,41,12,116.85
2013,DJ Bravo,Chennai Super Kings,106,121,11,3,114.15
2013,M Vohra,Kings XI Punjab,117,161,22,2,137.61
2013,SR Watson,Rajasthan Royals,378,542,59,22,143.39
2013,M Morkel,Delhi Daredevils,29,57,6,3,196.55
2013,JP Faulkner,Rajasthan Royals,57,57,5,2,100.0
2013,RE van der Merwe,Delhi Daredevils,25,22,2,0,88.0
2013,DJG Sammy,Sunrisers Hyderabad,132,174,11,10,131.82
2013,RN ten Doeschate,Kolkata Knight Riders,63,85,9,2,134.92
2013,NM Coulter-Nile,Mumbai Indians,6,9,0,1,150.0
2013,RV Gomez,Pune Warriors,1,4,1,0,400.0
2014,MK Pandey,Kolkata Knight Riders,343,409,35,11,119.24
2014,SA Yadav,Kolkata Knight Riders,115,160,15,5,139.13
2014,RG Sharma,Mumbai Indians,302,390,31,16,129.14
2014,R Bhatia,Rajasthan Royals,53,67,4,3,126.42
2014,RA Jadeja,Chennai Super Kings,109,146,9,5,133.94
2014,DS Kulkarni,Rajasthan Royals,25,35,1,2,140.0
2014,SP Narine,Kolkata Knight Riders,14,10,0,0,71.43
2014,KM Jadhav,Delhi Daredevils,99,146,13,7,147.47
2014,DH Yagnik,Rajasthan Royals,6,4,0,0,66.67
2014,KK Cooper,Rajasthan Royals,26,39,2,3,150.0
2015,F du Plessis,Chennai Super Kings,304,380,37,5,125.0
2015,S Dhawan,Sunrisers Hyderabad,285,347,45,5,121.75
2015,DJG Sammy,Royal Challengers Bangalore,18,13,0,0,72.22
2015,GH Vihari,Sunrisers Hyderabad,34,38,6,0,111.76
2016,LMP Simmons,Mumbai Indians,8,8,0,1,100.0
2016,R Vinay Kumar,Mumbai Indians,12,13,0,1,108.33
2022,M Vohra,Lucknow Super Giants,11,19,1,2,172.73
2023,RA Tripathi,Sunrisers Hyderabad,212,269,28,10,126.89
2023,RG Sharma,Mumbai Indians,248,326,35,16,131.45
2023,V Kohli,Royal Challengers Bangalore,457,639,65,16,139.82
2016,MP Stoinis,Kings XI Punjab,108,146,13,4,135.19
2016,Ishan Kishan,Gujarat Lions,41,42,5,0,102.44
2016,MR Marsh,Rising Pune Supergiants,11,7,0,0,63.64
2016,KH Pandya,Mumbai Indians,124,237,22,13,191.13
2016,KW Richardson,Royal Challengers Bangalore,1,1,0,0,100.0
2016,DR Smith,Gujarat Lions,220,320,34,16,145.45
2016,JO Holder,Kolkata Knight Riders,19,22,2,1,115.79
2016,KC Cariappa,Kings XI Punjab,11,13,0,1,118.18
2016,A Zampa,Rising Pune Supergiants,1,0,0,0,0.0
2017,MA Agarwal,Rising Pune Supergiant,27,26,3,0,96.3
2017,SPD Smith,Rising Pune Supergiant,387,472,38,12,121.96
2017,KD Karthik,Gujarat Lions,258,357,29,11,138.37
2017,Basil Thampi,Gujarat Lions,28,28,1,1,100.0
2017,MK Pandey,Kolkata Knight Riders,306,391,27,12,127.78
2017,AB de Villiers,Royal Challengers Bangalore,163,216,12,16,132.52
2017,DL Chahar,Rising Pune Supergiant,6,14,0,2,233.33
2017,Bipul Sharma,Sunrisers Hyderabad,24,31,2,1,129.17
2017,AD Mathews,Delhi Daredevils,27,32,2,1,118.52
2017,Mohammad Nabi,Sunrisers Hyderabad,3,2,0,0,66.67
2017,K Rabada,Delhi Daredevils,64,55,5,1,85.94
2017,NM Coulter-Nile,Kolkata Knight Riders,12,14,0,2,116.67
2017,AR Bawne,Delhi Daredevils,12,12,1,0,100.0
2017,MN Samuels,Delhi Daredevils,31,29,1,2,93.55
2018,SA Yadav,Mumbai Indians,384,512,61,16,133.33
2018,KH Pandya,Mumbai Indians,157,228,22,10,145.22
2018,Harbhajan Singh,Chennai Super Kings,35,29,3,1,82.86
2018,KA Pollard,Mumbai Indians,99,133,10,7,134.34
2018,AJ Finch,Kings XI Punjab,100,134,6,8,134.0
2018,M Ashwin,Royal Challengers Bangalore,2,1,0,0,50.0
2019,PP Shaw,Delhi Capitals,263,352,45,9,133.84
2019,Rasikh Salam,Mumbai Indians,4,5,0,0,125.0
2019,SV Samson,Rajasthan Royals,229,341,28,13,148.91
2019,K Gowtham,Rajasthan Royals,19,18,1,1,94.74
2019,S Gopal,Rajasthan Royals,46,63,8,1,136.96
2019,DL Chahar,Chennai Super Kings,9,7,1,0,77.78
2019,F du Plessis,Chennai Super Kings,321,396,36,15,123.36
2019,TG Southee,Royal Challengers Bangalore,9,9,0,0,100.0
2019,CR Brathwaite,Kolkata Knight Riders,9,10,1,0,111.11
2019,SE Rutherford,Delhi Capitals,54,73,2,7,135.19
2019,RK Singh,Kolkata Knight Riders,34,37,1,2,108.82
2020/21,AJ Tye,Rajasthan Royals,6,6,0,1,100.0
2020/21,BA Stokes,Rajasthan Royals,200,285,36,7,142.5
2020/21,AM Rahane,Delhi Capitals,107,113,12,2,105.61
2020/21,DJ Hooda,Kings XI Punjab,72,102,5,5,141.67
2021,SA Yadav,Mumbai Indians,220,316,40,10,143.64
2021,V Kohli,Royal Challengers Bangalore,337,401,42,9,118.99
2021,RA Tripathi,Kolkata Knight Riders,282,397,41,11,140.78
2021,AD Russell,Kolkata Knight Riders,117,182,14,14,155.56
2021,DA Warner,Sunrisers Hyderabad,184,197,15,6,107.07
2021,Abdul Samad,Sunrisers Hyderabad,87,111,4,8,127.59
2021,JA Richardson,Punjab Kings,24,15,2,0,62.5
2021,CH Morris,Rajasthan Royals,49,67,2,5,136.73
2021,TK Curran,Delhi Capitals,17,21,2,0,123.53
2021,Arshdeep Singh,Punjab Kings,3,2,0,0,66.67
2021,Sachin Baby,Royal Challengers Bangalore,16,6,0,0,37.5
2021,NM Coulter-Nile,Mumbai Indians,5,4,0,0,80.0
2022,MS Dhoni,Chennai Super Kings,186,225,21,9,120.97
2022,MA Agarwal,Punjab Kings,160,196,23,6,122.5
2022,Q de Kock,Lucknow Super Giants,340,502,47,22,147.65
2022,DA Miller,Gujarat Titans,335,481,32,23,143.58
2022,RA Tripathi,Sunrisers Hyderabad,260,409,39,20,157.31
2022,Shahbaz Ahmed,Royal Challengers Bangalore,179,218,14,9,121.79
2022,TA Boult,Rajasthan Royals,29,40,2,1,137.93
2022,Mustafizur Rahman,Delhi Capitals,5,3,0,0,60.0
2022,TS Mills,Mumbai Indians,3,0,0,0,0.0
2022,Mohsin Khan,Lucknow Super Giants,16,23,2,1,143.75
2022,SA Abbott,Sunrisers Hyderabad,5,7,0,1,140.0
2022,S Gopal,Sunrisers Hyderabad,7,9,2,0,128.57
2023,Lalit Yadav,Delhi Capitals,59,66,8,0,111.86
2023,T Stubbs,Mumbai Indians,31,25,2,0,80.65
2023,PP Chawla,Mumbai Indians,22,25,1,1,113.64
2023,Mustafizur Rahman,Delhi Capitals,1,1,0,0,100.0
2023,M Vohra,Lucknow Super Giants,11,10,1,0,90.91
2023,Harshit Rana,Kolkata Knight Riders,1,0,0,0,0.0
2024,PD Salt,Kolkata Knight Riders,235,434,50,24,184.68
2024,JM Sharma,Punjab Kings,142,187,9,12,131.69
2024,Shashank Singh,Punjab Kings,215,354,28,21,164.65
2024,G Coetzee,Mumbai Indians,22,14,0,1,63.64
2025,Aniket Verma,Sunrisers Hyderabad,142,236,12,20,166.2
2025,SB Dubey,Rajasthan Royals,65,105,6,8,161.54
2025,JC Archer,Rajasthan Royals,50,63,3,4,126.0
2025,S Dube,Chennai Super Kings,268,345,22,19,128.73
2024,Tanush Kotian,Rajasthan Royals,31,24,3,0,77.42
2024,Naveen-ul-Haq,Lucknow Super Giants,4,2,0,0,50.0
2025,KH Pandya,Royal Challengers Bengaluru,85,105,8,4,123.53
2025,J Overton,Chennai Super Kings,7,15,1,1,214.29
2025,Sandeep Sharma,Rajasthan Royals,5,6,0,0,120.0
2025,XC Bartlett,Punjab Kings,15,11,1,0,73.33
2025,Mustafizur Rahman,Delhi Capitals,1,0,0,0,0.0
2025,Mohammed Siraj,Gujarat Titans,4,3,0,0,75.0
2007/08,MS Dhoni,Chennai Super Kings,310,414,38,15,133.55
2007/08,DS Lehmann,Rajasthan Royals,18,18,3,0,100.0
2007/08,B Lee,Kings XI Punjab,12,17,2,1,141.67
2007/08,PP Chawla,Kings XI Punjab,58,89,10,3,153.45
2007/08,VY Mahesh,Delhi Daredevils,27,15,0,0,55.56
2007/08,SE Marsh,Kings XI Punjab,440,614,59,26,139.55
2007/08,S Vidyut,Chennai Super Kings,109,145,21,3,133.03
2007/08,PJ Sangwan,Delhi Daredevils,5,2,0,0,40.0
2007/08,MM Patel,Rajasthan Royals,1,0,0,0,0.0
2007/08,A Chopra,Kolkata Knight Riders,52,42,5,0,80.77
2007/08,Iqbal Abdulla,Kolkata Knight Riders,2,1,0,0,50.0
2007/08,DP Vijaykumar,Deccan Chargers,1,1,0,0,100.0
2007/08,Abdur Razzak,Royal Challengers Bangalore,2,0,0,0,0.0
2009,LRPL Taylor,Royal Challengers Bangalore,206,274,20,14,133.01
2009,KC Sangakkara,Kings XI Punjab,322,332,29,5,103.11
2009,V Sehwag,Delhi Daredevils,134,195,24,7,145.52
2009,AB Dinda,Kolkata Knight Riders,3,2,0,0,66.67
2009,FH Edwards,Deccan Chargers,5,4,0,0,80.0
2009,PP Ojha,Deccan Chargers,7,1,0,0,14.29
2009,M Manhas,Delhi Daredevils,62,75,7,1,120.97
2009,WP Saha,Kolkata Knight Riders,41,72,3,4,175.61
2009,D du Preez,Royal Challengers Bangalore,13,10,0,0,76.92
2009,A Symonds,Deccan Chargers,163,248,15,11,152.15
2009,J Botha,Rajasthan Royals,39,46,5,0,117.95
2009,Mashrafe Mortaza,Kolkata Knight Riders,2,2,0,0,100.0
2009/10,Anirudh Singh,Deccan Chargers,66,63,6,1,95.45
2009/10,V Sehwag,Delhi Daredevils,217,352,46,14,162.21
2009/10,V Kohli,Royal Challengers Bangalore,211,306,26,12,145.02
2009/10,RS Gavaskar,Kolkata Knight Riders,8,2,0,0,25.0
2009/10,Y Venugopal Rao,Deccan Chargers,43,34,3,1,79.07
2009/10,AS Raut,Rajasthan Royals,48,56,3,3,116.67
2009/10,DR Smith,Deccan Chargers,25,22,1,1,88.0
2011,YK Pathan,Kolkata Knight Riders,200,283,24,13,141.5
2011,EJG Morgan,Kolkata Knight Riders,117,137,17,3,117.09
2011,DW Steyn,Deccan Chargers,35,36,3,0,102.86
2011,SE Marsh,Kings XI Punjab,343,500,51,20,145.77
2011,AL Menaria,Rajasthan Royals,152,180,10,10,118.42
2011,AM Rahane,Rajasthan Royals,98,120,12,2,122.45
2011,RP Singh,Kochi Tuskers Kerala,4,2,0,0,50.0
2011,DL Vettori,Royal Challengers Bangalore,28,23,1,1,82.14
2011,AS Raut,Rajasthan Royals,58,60,5,1,103.45
2011,SW Tait,Rajasthan Royals,10,10,1,0,100.0
2011,JEC Franklin,Mumbai Indians,78,107,10,2,137.18
2011,NLTC Perera,Kochi Tuskers Kerala,27,23,4,0,85.19
2011,Harbhajan Singh,Mumbai Indians,71,103,9,6,145.07
2011,P Parameswaran,Kochi Tuskers Kerala,1,1,0,0,100.0
2011,PR Shah,Rajasthan Royals,5,5,1,0,100.0
2011,JDP Oram,Rajasthan Royals,3,0,0,0,0.0
2012,S Badrinath,Chennai Super Kings,181,196,23,2,108.29
2012,RA Jadeja,Chennai Super Kings,151,191,13,9,126.49
2012,G Gambhir,Kolkata Knight Riders,411,590,64,17,143.55
2012,MM Patel,Mumbai Indians,7,2,0,0,28.57
2012,BJ Hodge,Rajasthan Royals,173,245,18,9,141.62
2012,DJ Hussey,Kings XI Punjab,305,396,28,17,129.84
2012,HV Patel,Royal Challengers Bangalore,15,15,1,0,100.0
2012,DAJ Bracewell,Delhi Daredevils,9,12,1,0,133.33
2012,AA Chavan,Rajasthan Royals,8,11,2,0,137.5
2012,DJ Jacobs,Mumbai Indians,10,0,0,0,0.0
2012,LRPL Taylor,Delhi Daredevils,171,197,12,7,115.2
2012,BB Samantray,Deccan Chargers,2,2,0,0,100.0
2012,MJ Clarke,Pune Warriors,94,98,12,0,104.26
2012,DR Smith,Mumbai Indians,97,156,18,7,160.82
2012,AP Majumdar,Pune Warriors,76,87,7,2,114.47
2012,PA Reddy,Deccan Chargers,59,73,6,2,123.73
2012,J Theron,Deccan Chargers,6,7,1,0,116.67
2012,P Parameswaran,Royal Challengers Bangalore,1,0,0,0,0.0
2013,EJG Morgan,Kolkata Knight Riders,240,307,28,13,127.92
2013,RT Ponting,Mumbai Indians,75,52,3,1,69.33
2013,MN Samuels,Pune Warriors,18,8,1,0,44.44
2013,AD Mathews,Pune Warriors,139,172,5,10,123.74
2013,R Dravid,Rajasthan Royals,424,471,64,5,111.08
2013,R Bhatia,Kolkata Knight Riders,80,99,8,3,123.75
2013,DA Miller,Kings XI Punjab,253,417,28,24,164.82
2013,SL Malinga,Mumbai Indians,18,9,1,0,50.0
2013,UA Birla,Pune Warriors,14,7,1,0,50.0
2013,WD Parnell,Pune Warriors,7,5,0,0,71.43
2013,Sachin Baby,Rajasthan Royals,7,3,0,0,42.86
2014,Yuvraj Singh,Royal Challengers Bangalore,274,370,21,28,135.04
2014,BB McCullum,Chennai Super Kings,333,405,32,19,121.62
2014,DA Warner,Sunrisers Hyderabad,371,528,39,24,142.32
2014,SV Samson,Rajasthan Royals,273,339,25,17,124.18
2014,Mohammed Shami,Delhi Daredevils,7,3,0,0,42.86
2014,B Kumar,Sunrisers Hyderabad,4,1,0,0,25.0
2014,AB Dinda,Royal Challengers Bangalore,12,4,0,0,33.33
2014,AD Russell,Kolkata Knight Riders,8,2,0,0,25.0
2014,Imran Tahir,Delhi Daredevils,10,8,2,0,80.0
2014,JO Holder,Sunrisers Hyderabad,12,16,2,1,133.33
2015,RA Jadeja,Chennai Super Kings,126,132,7,3,104.76
2015,SV Samson,Rajasthan Royals,162,204,16,8,125.93
2015,DA Miller,Kings XI Punjab,267,357,21,21,133.71
2015,AD Russell,Kolkata Knight Riders,169,326,35,19,192.9
2015,S Gopal,Mumbai Indians,1,1,0,0,100.0
2016,SS Iyer,Delhi Daredevils,43,30,2,1,69.77
2016,KK Nair,Delhi Daredevils,295,352,39,6,119.32
2016,Z Khan,Delhi Daredevils,13,6,1,0,46.15
2023,DP Conway,Chennai Super Kings,479,671,77,18,140.08
2023,Shubman Gill,Gujarat Titans,560,885,84,33,158.04
2023,KH Pandya,Lucknow Super Giants,164,188,15,6,114.63
2023,SV Samson,Rajasthan Royals,236,362,25,24,153.39
2023,MA Agarwal,Sunrisers Hyderabad,208,266,28,6,127.88
2023,GD Phillips,Sunrisers Hyderabad,22,39,2,4,177.27
2016,WP Saha,Kings XI Punjab,212,270,29,1,127.36
2016,SA Yadav,Kolkata Knight Riders,141,180,18,5,127.66
2016,MG Johnson,Kings XI Punjab,14,5,0,0,35.71
2016,Shakib Al Hasan,Kolkata Knight Riders,106,114,7,5,107.55
2016,GJ Bailey,Rising Pune Supergiants,97,84,9,2,86.6
2016,S Nadeem,Delhi Daredevils,5,1,0,0,20.0
2017,TG Southee,Mumbai Indians,3,7,0,1,233.33
2017,Z Khan,Delhi Daredevils,13,4,0,0,30.77
2017,YK Pathan,Kolkata Knight Riders,115,143,9,6,124.35
2017,Harbhajan Singh,Mumbai Indians,16,16,0,1,100.0
2017,CJ Anderson,Delhi Daredevils,122,142,8,9,116.39
2017,Anureet Singh,Kings XI Punjab,12,15,2,0,125.0
2018,CA Lynn,Kolkata Knight Riders,377,491,56,18,130.24
2018,R Vinay Kumar,Kolkata Knight Riders,3,6,1,0,200.0
2018,AM Rahane,Rajasthan Royals,313,370,39,5,118.21
2018,DJM Short,Rajasthan Royals,99,115,11,5,116.16
2018,Rashid Khan,Sunrisers Hyderabad,31,59,3,6,190.32
2018,F du Plessis,Chennai Super Kings,128,161,17,6,125.78
2018,Mohammad Nabi,Sunrisers Hyderabad,12,18,3,0,150.0
2018,SP Goswami,Sunrisers Hyderabad,38,51,6,1,134.21
2019,SK Raina,Chennai Super Kings,312,382,45,9,122.44
2019,AR Patel,Delhi Capitals,87,108,10,3,124.14
2019,KA Pollard,Mumbai Indians,176,269,14,20,152.84
2019,BCJ Cutting,Mumbai Indians,17,18,1,1,105.88
2019,KS Williamson,Sunrisers Hyderabad,129,154,12,5,119.38
2019,M Ashwin,Kings XI Punjab,5,3,0,0,60.0
2019,S Lamichhane,Delhi Capitals,1,0,0,0,0.0
2019,Harbhajan Singh,Chennai Super Kings,3,1,0,0,33.33
2019,WP Saha,Sunrisers Hyderabad,53,86,13,1,162.26
2019,H Klaasen,Royal Challengers Bangalore,9,9,0,0,100.0
2020/21,RD Chahar,Mumbai Indians,4,2,0,0,50.0
2020/21,SN Khan,Kings XI Punjab,29,33,5,0,113.79
2020/21,PK Garg,Sunrisers Hyderabad,109,129,8,4,118.35
2020/21,SPD Smith,Rajasthan Royals,235,303,30,9,128.94
2020/21,UT Yadav,Royal Challengers Bangalore,2,0,0,0,0.0
2020/21,CH Morris,Royal Challengers Bangalore,21,34,2,3,161.9
2021,RG Sharma,Mumbai Indians,298,379,33,14,127.18
2021,R Tewatia,Rajasthan Royals,147,155,11,6,105.44
2021,Navdeep Saini,Royal Challengers Bangalore,4,2,0,0,50.0
2021,PWH de Silva,Royal Challengers Bangalore,2,1,0,0,50.0
2021,MK Lomror,Rajasthan Royals,73,94,3,6,128.77
2021,PK Garg,Sunrisers Hyderabad,74,72,2,3,97.3
2021,Anuj Rawat,Rajasthan Royals,1,0,0,0,0.0
2021,PP Chawla,Mumbai Indians,2,0,0,0,0.0
2022,RV Uthappa,Chennai Super Kings,170,230,19,14,135.29
2022,VR Iyer,Kolkata Knight Riders,169,182,17,7,107.69
2022,V Kohli,Royal Challengers Bangalore,294,341,32,8,115.99
2022,OF Smith,Punjab Kings,44,51,1,5,115.91
2022,A Manohar,Gujarat Titans,75,108,14,3,144.0
2022,Abdul Samad,Sunrisers Hyderabad,7,4,0,0,57.14
2022,SE Rutherford,Royal Challengers Bangalore,50,33,1,1,66.0
2022,MM Ali,Chennai Super Kings,177,244,24,11,137.85
2022,Rashid Khan,Gujarat Titans,44,91,3,9,206.82
2022,Akash Deep,Royal Challengers Bangalore,2,0,0,0,0.0
2022,M Prasidh Krishna,Rajasthan Royals,12,6,0,0,50.0
2022,P Simran Singh,Punjab Kings,11,14,2,0,127.27
2022,Yash Dayal,Gujarat Titans,1,0,0,0,0.0
2022,KS Bharat,Delhi Capitals,7,8,2,0,114.29
2023,A Nortje,Delhi Capitals,29,37,6,0,127.59
2023,SS Prabhudessai,Royal Challengers Bangalore,29,35,1,2,120.69
2023,Liton Das,Kolkata Knight Riders,4,4,1,0,100.0
2023,VG Arora,Kolkata Knight Riders,2,3,0,0,150.0
2023,Swapnil Singh,Lucknow Super Giants,4,2,0,0,50.0
2024,SS Iyer,Kolkata Knight Riders,239,351,34,14,146.86
2024,R Ravindra,Chennai Super Kings,137,218,21,12,159.12
2024,MS Dhoni,Chennai Super Kings,72,161,14,13,223.61
2024,Ishan Kishan,Mumbai Indians,214,319,35,16,149.07
2024,A Raghuvanshi,Kolkata Knight Riders,105,163,16,8,155.24
2025,SP Narine,Kolkata Knight Riders,144,246,25,19,170.83
2025,TM Head,Sunrisers Hyderabad,226,373,50,15,165.04
2025,SV Samson,Rajasthan Royals,201,284,27,13,141.29
2025,Tilak Varma,Mumbai Indians,245,336,23,15,137.14
2025,Shubman Gill,Gujarat Titans,414,649,62,24,156.76
2024,JA Richardson,Delhi Capitals,2,2,0,0,100.0
2024,SH Johnson,Gujarat Titans,7,6,1,0,85.71
2024,N Wadhera,Mumbai Indians,84,109,9,6,129.76
2025,TU Deshpande,Rajasthan Royals,8,7,0,0,87.5
2025,MS Bhandage,Royal Challengers Bengaluru,4,1,0,0,25.0
2025,PVD Chameera,Delhi Capitals,14,10,0,0,71.43
2007/08,R Dravid,Royal Challengers Bangalore,297,370,35,11,124.58
2007/08,W Jaffer,Royal Challengers Bangalore,104,115,12,3,110.58
2007/08,V Kohli,Royal Challengers Bangalore,157,165,18,4,105.1
2007/08,P Kumar,Royal Challengers Bangalore,98,112,10,6,114.29
2007/08,RA Jadeja,Rajasthan Royals,100,134,11,6,134.0
2007/08,S Dhawan,Delhi Daredevils,295,340,35,8,115.25
2007/08,L Ronchi,Mumbai Indians,32,34,6,1,106.25
2007/08,RV Uthappa,Mumbai Indians,274,316,34,9,115.33
2007/08,Harbhajan Singh,Mumbai Indians,17,30,1,3,176.47
2007/08,VRV Singh,Kings XI Punjab,3,4,1,0,133.33
2007/08,Shoaib Malik,Delhi Daredevils,46,51,5,0,110.87
2007/08,D Kalyankrishna,Deccan Chargers,8,3,0,0,37.5
2007/08,Salman Butt,Kolkata Knight Riders,160,192,30,2,120.0
2007/08,Joginder Sharma,Chennai Super Kings,11,16,1,1,145.45
2007/08,PM Sarvesh Kumar,Deccan Chargers,2,1,0,0,50.0
2009,ST Jayasuriya,Mumbai Indians,190,219,23,7,115.26
2009,DJ Bravo,Mumbai Indians,201,217,15,8,107.96
2009,KP Pietersen,Royal Challengers Bangalore,84,92,8,2,109.52
2009,AD Mascarenhas,Rajasthan Royals,39,39,4,0,100.0
2009,RG Sharma,Deccan Chargers,313,354,20,18,113.1
2009,KV Sharma,Royal Challengers Bangalore,3,1,0,0,33.33
2009,AA Bilakhia,Deccan Chargers,80,67,5,0,83.75
2009,L Balaji,Chennai Super Kings,10,4,0,0,40.0
2009,W Jaffer,Royal Challengers Bangalore,17,15,2,0,88.24
2009/10,AP Tare,Mumbai Indians,36,50,5,3,138.89
2009/10,SS Tiwary,Mumbai Indians,307,417,29,18,135.83
2009/10,IK Pathan,Kings XI Punjab,186,276,21,10,148.39
2009/10,PP Chawla,Kings XI Punjab,59,62,7,0,105.08
2009/10,EJG Morgan,Royal Challengers Bangalore,30,35,2,1,116.67
2009/10,DP Nannes,Delhi Daredevils,13,4,0,0,30.77
2009/10,Bipul Sharma,Kings XI Punjab,7,9,1,0,128.57
2009/10,T Thushara,Chennai Super Kings,11,10,0,0,90.91
2009/10,KAJ Roach,Deccan Chargers,9,10,1,0,111.11
2009/10,CL White,Royal Challengers Bangalore,33,48,3,3,145.45
2009/10,SL Malinga,Mumbai Indians,1,1,0,0,100.0
2011,JA Morkel,Chennai Super Kings,100,137,8,8,137.0
2011,R Bhatia,Kolkata Knight Riders,22,25,3,0,113.64
2011,DT Christian,Deccan Chargers,157,183,9,6,116.56
2011,DB Ravi Teja,Deccan Chargers,143,182,17,4,127.27
2011,V Kohli,Royal Challengers Bangalore,459,557,55,16,121.35
2011,MEK Hussey,Chennai Super Kings,413,492,53,6,119.13
2011,A Singh,Rajasthan Royals,4,1,0,0,25.0
2011,OA Shah,Kochi Tuskers Kerala,15,26,1,2,173.33
2012,DE Bollinger,Chennai Super Kings,5,3,0,0,60.0
2012,SE Marsh,Kings XI Punjab,280,336,39,7,120.0
2012,JD Ryder,Pune Warriors,211,252,22,8,119.43
2012,KP Pietersen,Delhi Daredevils,207,305,22,20,147.34
2012,J Botha,Rajasthan Royals,54,58,4,1,107.41
2012,RR Bhatkal,Royal Challengers Bangalore,2,0,0,0,0.0
2012,AC Blizzard,Mumbai Indians,3,0,0,0,0.0
2012,SD Chitnis,Kings XI Punjab,62,66,7,1,106.45
2012,DS Kulkarni,Mumbai Indians,5,10,2,0,200.0
2013,J Botha,Delhi Daredevils,52,43,5,1,82.69
2013,IK Pathan,Delhi Daredevils,155,153,10,4,98.71
2013,MS Bisla,Kolkata Knight Riders,235,255,36,6,108.51
2013,GH Vihari,Sunrisers Hyderabad,277,239,17,1,86.28
2013,LRPL Taylor,Pune Warriors,76,63,2,1,82.89
2013,M Vijay,Chennai Super Kings,286,312,27,8,109.09
2013,MC Henriques,Royal Challengers Bangalore,124,165,20,3,133.06
2013,SP Narine,Kolkata Knight Riders,19,21,0,2,110.53
2013,Azhar Mahmood,Kings XI Punjab,154,196,22,5,127.27
2013,MG Johnson,Mumbai Indians,36,39,2,2,108.33
2014,G Gambhir,Kolkata Knight Riders,290,324,35,3,111.72
2014,AJ Finch,Sunrisers Hyderabad,261,308,31,9,118.01
2014,AB de Villiers,Royal Challengers Bangalore,248,389,26,23,156.85
2014,HV Patel,Royal Challengers Bangalore,7,13,1,1,185.71
2014,RN ten Doeschate,Kolkata Knight Riders,33,52,3,4,157.58
2014,KW Richardson,Rajasthan Royals,2,1,0,0,50.0
2014,VH Zol,Royal Challengers Bangalore,26,29,3,1,111.54
2014,MM Sharma,Chennai Super Kings,3,1,0,0,33.33
2015,DR Smith,Chennai Super Kings,331,399,52,16,120.54
2015,Yuvraj Singh,Delhi Daredevils,209,247,23,10,118.18
2015,SPD Smith,Rajasthan Royals,220,292,33,3,132.73
2015,AB de Villiers,Royal Challengers Bangalore,291,511,60,22,175.6
2015,VR Aaron,Royal Challengers Bangalore,3,6,0,1,200.0
2015,R Vinay Kumar,Mumbai Indians,2,0,0,0,0.0
2015,RR Rossouw,Royal Challengers Bangalore,10,14,1,1,140.0
2015,UT Yadav,Kolkata Knight Riders,14,29,5,1,207.14
2015,Bipul Sharma,Sunrisers Hyderabad,2,1,0,0,50.0
2015,Q de Kock,Delhi Daredevils,77,122,18,4,158.44
2015,Ankit Sharma,Rajasthan Royals,6,7,1,0,116.67
2023,WP Saha,Gujarat Titans,285,370,47,8,129.82
2023,R Tewatia,Gujarat Titans,57,87,3,7,152.63
2023,PBB Rajapaksa,Punjab Kings,62,71,6,2,114.52
2023,Sikandar Raza,Punjab Kings,98,139,10,6,141.84
2023,DJ Hooda,Lucknow Super Giants,90,84,3,2,93.33
2023,K Gowtham,Lucknow Super Giants,36,61,2,5,169.44
2023,SN Khan,Delhi Capitals,61,53,4,1,86.89
2023,SA Yadav,Mumbai Indians,332,595,64,27,179.22
2016,STR Binny,Royal Challengers Bangalore,39,63,5,4,161.54
2016,Ankit Sharma,Rising Pune Supergiants,3,3,0,0,100.0
2016,NS Naik,Kings XI Punjab,31,23,1,0,74.19
2016,UT Khawaja,Rising Pune Supergiants,99,127,14,3,128.28
2016,PV Tambe,Gujarat Lions,18,7,1,0,38.89
2017,Mandeep Singh,Royal Challengers Bangalore,177,188,21,4,106.21
2017,P Negi,Royal Challengers Bangalore,111,144,10,7,129.73
2017,A Mishra,Delhi Daredevils,52,49,2,2,94.23
2017,SE Marsh,Kings XI Punjab,192,258,36,4,134.38
2017,MG Johnson,Mumbai Indians,17,20,1,1,117.65
2018,GJ Maxwell,Delhi Daredevils,120,169,14,9,140.83
2018,AJ Tye,Kings XI Punjab,38,32,2,1,84.21
2018,NV Ojha,Delhi Daredevils,4,1,0,0,25.0
