batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
Y Venugopal Rao,2009/10,Deccan Chargers,4,34,6,3,1,43,79.07,8.5
GJ Bailey,2009/10,Chennai Super Kings,1,18,4,2,0,27,66.67,18.0
SJ Srivastava,2009/10,Kings XI Punjab,2,1,1,0,0,2,50.0,0.5
KB Arun Karthik,2009/10,Chennai Super Kings,1,3,1,0,0,5,60.0,3.0
MEK Hussey,2009/10,Chennai Super Kings,3,37,4,2,0,44,84.09,12.33
B Sumanth,2009/10,Deccan Chargers,4,35,4,3,0,37,94.59,8.75
Pankaj Singh,2009/10,Royal Challengers Bangalore,1,1,1,0,0,2,50.0,1.0
DW Steyn,2011,Deccan Chargers,5,36,4,3,0,35,102.86,7.2
R Dravid,2011,Rajasthan Royals,12,343,6,45,2,312,109.94,28.58
LRPL Taylor,2011,Rajasthan Royals,11,180,6,11,7,150,120.0,16.36
PP Chawla,2011,Kings XI Punjab,6,48,6,2,2,55,87.27,8.0
R Ninan,2011,Royal Challengers Bangalore,1,3,1,0,0,5,60.0,3.0
Y Nagar,2011,Delhi Daredevils,10,111,6,6,6,100,111.0,11.1
R Sathish,2011,Mumbai Indians,3,25,4,1,0,34,73.53,8.33
M Kaif,2011,Royal Challengers Bangalore,4,41,4,5,0,33,124.24,10.25
Bipul Sharma,2011,Kings XI Punjab,3,23,4,1,0,18,127.78,7.67
I Malhotra,2011,Deccan Chargers,1,7,4,1,0,4,175.0,7.0
SC Ganguly,2011,Pune Warriors,3,50,6,3,2,58,86.21,16.67
PR Shah,2011,Rajasthan Royals,1,5,4,1,0,5,100.0,5.0
RE Levi,2012,Mumbai Indians,6,83,6,10,4,73,113.7,13.83
R Bhatia,2012,Kolkata Knight Riders,6,35,4,4,0,28,125.0,5.83
V Sehwag,2012,Delhi Daredevils,16,495,6,57,19,307,161.24,30.94
GJ Maxwell,2012,Delhi Daredevils,2,6,2,0,0,11,54.55,3.0
KD Karthik,2012,Mumbai Indians,14,238,6,30,2,212,112.26,17.0
SA Yadav,2012,Mumbai Indians,1,0,0,0,0,4,0.0,0.0
Harbhajan Singh,2012,Mumbai Indians,11,108,6,14,3,80,135.0,9.82
SL Malinga,2012,Mumbai Indians,6,55,6,4,3,53,103.77,9.17
V Kohli,2012,Royal Challengers Bangalore,15,364,6,33,10,325,112.0,24.27
MA Agarwal,2012,Royal Challengers Bangalore,12,225,6,19,15,157,143.31,18.75
MS Bisla,2012,Kolkata Knight Riders,7,213,6,16,10,160,133.13,30.43
CH Gayle,2012,Royal Challengers Bangalore,14,720,6,46,57,451,159.65,51.43
P Negi,2012,Delhi Daredevils,4,36,6,4,1,29,124.14,9.0
SR Watson,2012,Rajasthan Royals,7,255,6,26,14,168,151.79,36.43
Harpreet Singh,2012,Pune Warriors,1,6,2,0,0,6,100.0,6.0
DT Christian,2013,Royal Challengers Bangalore,2,6,2,0,0,15,40.0,3.0
AD Mathews,2013,Pune Warriors,10,172,6,5,10,139,123.74,17.2
MEK Hussey,2013,Chennai Super Kings,17,732,6,81,17,565,129.56,43.06
M Vohra,2013,Kings XI Punjab,10,161,6,22,2,117,137.61,16.1
R Vinay Kumar,2013,Royal Challengers Bangalore,5,70,6,6,3,44,159.09,14.0
JD Unadkat,2013,Royal Challengers Bangalore,2,2,1,0,0,2,100.0,1.0
DH Yagnik,2013,Rajasthan Royals,9,124,6,17,2,93,133.33,13.78
RJ Harris,2013,Kings XI Punjab,2,2,1,0,0,5,40.0,1.0
DB Das,2013,Kolkata Knight Riders,6,75,6,5,5,74,101.35,12.5
SL Malinga,2013,Mumbai Indians,6,9,4,1,0,18,50.0,1.5
DJG Sammy,2013,Sunrisers Hyderabad,9,174,6,11,10,132,131.82,19.33
KA Pollard,2014,Mumbai Indians,15,272,6,15,15,202,134.65,18.13
CA Pujara,2014,Kings XI Punjab,6,125,4,17,0,123,101.63,20.83
SR Watson,2014,Rajasthan Royals,13,245,6,20,14,198,123.74,18.85
PP Ojha,2014,Mumbai Indians,3,4,1,0,0,8,50.0,1.33
M Manhas,2014,Chennai Super Kings,5,35,6,3,1,23,152.17,7.0
R Ashwin,2014,Chennai Super Kings,5,45,4,4,0,45,100.0,9.0
KM Jadhav,2014,Delhi Daredevils,10,146,6,13,7,99,147.47,14.6
Mandeep Singh,2014,Kings XI Punjab,3,24,5,2,0,25,96.0,8.0
Imran Tahir,2014,Delhi Daredevils,2,8,4,2,0,10,80.0,4.0
Karanveer Singh,2014,Kings XI Punjab,1,1,1,0,0,1,100.0,1.0
AT Rayudu,2015,Mumbai Indians,14,281,6,18,16,192,146.35,20.07
RA Jadeja,2015,Chennai Super Kings,11,132,6,7,3,126,104.76,12.0
DJ Hooda,2015,Rajasthan Royals,9,151,6,6,11,95,158.95,16.78
MK Tiwary,2015,Delhi Daredevils,2,57,6,8,1,56,101.79,28.5
SE Marsh,2015,Kings XI Punjab,4,89,6,9,3,62,143.55,22.25
SL Malinga,2015,Mumbai Indians,1,6,4,1,0,10,60.0,6.0
SN Thakur,2015,Kings XI Punjab,1,7,4,1,0,6,116.67,7.0
SS Tiwary,2015,Delhi Daredevils,6,109,6,9,5,78,139.74,18.17
CH Morris,2016,Delhi Daredevils,7,195,6,15,12,109,178.9,27.86
RA Jadeja,2023,Chennai Super Kings,12,189,6,11,9,132,143.18,15.75
R Tewatia,2023,Gujarat Titans,10,87,6,3,7,57,152.63,8.7
P Simran Singh,2023,Punjab Kings,14,358,6,38,19,238,150.42,25.57
KH Pandya,2023,Lucknow Super Giants,14,188,6,15,6,164,114.63,13.43
Kuldeep Yadav,2023,Delhi Capitals,10,31,4,2,0,48,64.58,3.1
RA Tripathi,2023,Sunrisers Hyderabad,13,269,6,28,10,212,126.89,20.69
TH David,2023,Mumbai Indians,15,231,6,12,15,145,159.31,15.4
HR Shokeen,2023,Mumbai Indians,3,23,4,4,0,17,135.29,7.67
GJ Maxwell,2016,Kings XI Punjab,10,179,6,14,8,124,144.35,17.9
Ishan Kishan,2016,Gujarat Lions,5,42,4,5,0,41,102.44,8.4
AB de Villiers,2016,Royal Challengers Bangalore,16,682,6,56,37,405,168.4,42.63
S Dhawan,2016,Sunrisers Hyderabad,17,497,6,50,8,427,116.39,29.24
P Sahu,2016,Kings XI Punjab,2,19,6,1,1,13,146.15,9.5
NLTC Perera,2016,Rising Pune Supergiants,10,149,6,7,11,92,161.96,14.9
KW Richardson,2016,Royal Challengers Bangalore,1,1,1,0,0,1,100.0,1.0
Gurkeerat Singh,2016,Kings XI Punjab,6,113,6,11,3,86,131.4,18.83
A Nehra,2016,Sunrisers Hyderabad,1,1,1,0,0,1,100.0,1.0
S Nadeem,2016,Delhi Daredevils,1,1,1,0,0,5,20.0,1.0
Imran Tahir,2016,Delhi Daredevils,1,5,4,1,0,7,71.43,5.0
ER Dwivedi,2016,Gujarat Lions,2,24,6,2,2,14,171.43,12.0
BCJ Cutting,2017,Sunrisers Hyderabad,3,51,6,5,3,26,196.15,17.0
AM Rahane,2017,Rising Pune Supergiant,16,382,6,35,9,323,118.27,23.88
WP Saha,2017,Kings XI Punjab,11,230,6,19,8,186,123.66,20.91
A Mishra,2017,Delhi Daredevils,6,49,6,2,2,52,94.23,8.17
AB Dinda,2017,Rising Pune Supergiant,1,7,4,1,0,7,100.0,7.0
Anureet Singh,2017,Kings XI Punjab,1,15,4,2,0,12,125.0,15.0
JJ Bumrah,2017,Mumbai Indians,2,16,6,0,1,12,133.33,8.0
PP Chawla,2017,Kolkata Knight Riders,1,2,1,0,0,6,33.33,2.0
HH Pandya,2018,Mumbai Indians,13,260,6,20,11,195,133.33,20.0
AT Rayudu,2018,Chennai Super Kings,16,602,6,53,34,401,150.12,37.63
R Tewatia,2018,Delhi Daredevils,5,50,6,5,1,43,116.28,10.0
AB de Villiers,2018,Royal Challengers Bangalore,11,480,6,39,30,275,174.55,43.64
BCJ Cutting,2018,Mumbai Indians,6,96,6,5,8,58,165.52,16.0
JJ Bumrah,2018,Mumbai Indians,3,10,4,1,0,10,100.0,3.33
MM Sharma,2018,Kings XI Punjab,4,10,4,1,0,13,76.92,2.5
S Nadeem,2018,Delhi Daredevils,1,6,1,0,0,8,75.0,6.0
A Mishra,2018,Delhi Daredevils,1,1,1,0,0,2,50.0,1.0
DR Shorey,2018,Chennai Super Kings,1,8,6,0,1,9,88.89,8.0
CA Lynn,2019,Kolkata Knight Riders,13,395,6,40,21,288,137.15,30.38
PP Shaw,2019,Delhi Capitals,16,352,6,45,9,263,133.84,22.0
MP Stoinis,2019,Royal Challengers Bangalore,10,211,6,14,10,156,135.26,21.1
C Munro,2019,Delhi Capitals,4,84,6,9,4,70,120.0,21.0
WP Saha,2019,Sunrisers Hyderabad,5,86,6,13,1,53,162.26,17.2
MK Lomror,2019,Rajasthan Royals,1,8,4,2,0,3,266.67,8.0
IS Sodhi,2019,Rajasthan Royals,1,6,1,0,0,11,54.55,6.0
I Sharma,2019,Delhi Capitals,1,10,6,1,1,3,333.33,10.0
AR Patel,2020/21,Delhi Capitals,9,117,6,6,8,83,140.96,13.0
KL Rahul,2020/21,Kings XI Punjab,14,676,6,58,23,521,129.75,48.29
D Padikkal,2020/21,Royal Challengers Bangalore,15,472,6,51,8,378,124.87,31.47
V Shankar,2020/21,Sunrisers Hyderabad,5,97,6,10,1,96,101.04,19.4
WP Saha,2020/21,Sunrisers Hyderabad,4,214,6,24,5,153,139.87,53.5
K Rabada,2020/21,Delhi Capitals,6,56,6,4,2,49,114.29,9.33
AS Rajpoot,2020/21,Rajasthan Royals,2,9,6,0,1,10,90.0,4.5
AJ Tye,2020/21,Rajasthan Royals,1,6,6,0,1,6,100.0,6.0
SN Thakur,2020/21,Chennai Super Kings,2,12,2,0,0,21,57.14,6.0
AM Rahane,2020/21,Delhi Capitals,8,113,6,12,2,107,105.61,14.13
NM Coulter-Nile,2020/21,Mumbai Indians,2,25,4,4,0,15,166.67,12.5
P Dubey,2020/21,Delhi Capitals,1,7,2,0,0,13,53.85,7.0
SP Goswami,2020/21,Sunrisers Hyderabad,2,0,0,0,0,4,0.0,0.0
HH Pandya,2021,Mumbai Indians,11,126,6,11,5,111,113.51,11.45
JJ Bumrah,2021,Mumbai Indians,7,16,4,2,0,17,94.12,2.29
AD Russell,2021,Kolkata Knight Riders,8,182,6,14,14,117,155.56,22.75
FA Allen,2021,Punjab Kings,2,5,1,0,0,11,45.45,2.5
DL Chahar,2021,Chennai Super Kings,1,1,1,0,0,1,100.0,1.0
PK Garg,2021,Sunrisers Hyderabad,5,72,6,2,3,74,97.3,14.4
GD Phillips,2021,Rajasthan Royals,3,26,6,1,2,32,81.25,8.67
K Yadav,2021,Rajasthan Royals,1,0,0,0,0,4,0.0,0.0
Anuj Rawat,2021,Rajasthan Royals,1,0,0,0,0,1,0.0,0.0
RD Gaikwad,2022,Chennai Super Kings,14,367,6,33,14,289,126.99,26.21
Tilak Varma,2022,Mumbai Indians,14,397,6,29,16,302,131.46,28.36
PP Shaw,2022,Delhi Capitals,10,283,6,37,10,184,153.8,28.3
TL Seifert,2022,Delhi Capitals,2,24,4,4,0,19,126.32,12.0
KH Pandya,2022,Lucknow Super Giants,13,183,6,16,4,145,126.21,14.08
D Padikkal,2022,Rajasthan Royals,17,375,6,41,14,305,122.95,22.06
TA Boult,2022,Rajasthan Royals,7,40,6,2,1,29,137.93,5.71
VG Arora,2022,Punjab Kings,4,5,1,0,0,13,38.46,1.25
DA Warner,2022,Delhi Capitals,12,432,6,52,15,285,151.58,36.0
B Sai Sudharsan,2022,Gujarat Titans,5,141,6,13,3,113,124.78,28.2
YS Chahal,2022,Rajasthan Royals,1,5,2,0,0,8,62.5,5.0
Aman Hakim Khan,2022,Kolkata Knight Riders,1,5,4,1,0,3,166.67,5.0
AS Joseph,2022,Gujarat Titans,3,5,1,0,0,7,71.43,1.67
Kartik Tyagi,2022,Sunrisers Hyderabad,2,7,4,1,0,6,116.67,3.5
RK Bhui,2024,Delhi Capitals,2,3,1,0,0,9,33.33,1.5
F du Plessis,2024,Royal Challengers Bengaluru,15,438,6,47,21,271,161.62,29.2
Akash Madhwal,2024,Mumbai Indians,1,4,2,0,0,5,80.0,4.0
A Raghuvanshi,2024,Kolkata Knight Riders,7,163,6,16,8,105,155.24,23.29
Q de Kock,2025,Kolkata Knight Riders,8,152,6,9,11,116,131.03,19.0
VR Iyer,2025,Kolkata Knight Riders,7,142,6,15,4,102,139.22,20.29
Ramandeep Singh,2025,Kolkata Knight Riders,7,47,6,1,4,35,134.29,6.71
SH Johnson,2025,Kolkata Knight Riders,2,2,1,0,0,4,50.0,1.0
Naman Dhir,2025,Mumbai Indians,12,252,6,25,13,138,182.61,21.0
R Ravindra,2025,Chennai Super Kings,8,190,6,18,4,147,129.25,23.75
SM Curran,2025,Chennai Super Kings,5,112,6,11,4,82,136.59,22.4
Kuldeep Yadav,2025,Delhi Capitals,5,18,4,2,0,16,112.5,3.6
SS Iyer,2025,Punjab Kings,17,603,6,43,39,343,175.8,35.47
Akash Deep,2024,Royal Challengers Bengaluru,1,2,1,0,0,2,100.0,2.0
Atharva Taide,2024,Punjab Kings,2,61,6,7,2,39,156.41,30.5
SS Prabhudessai,2024,Royal Challengers Bengaluru,1,24,4,3,0,18,133.33,24.0
M Theekshana,2025,Rajasthan Royals,4,10,1,0,0,27,37.04,2.5
Arshdeep Singh,2025,Punjab Kings,2,2,1,0,0,6,33.33,1.0
KK Nair,2025,Delhi Capitals,8,198,6,24,10,114,173.68,24.75
Prince Yadav,2025,Lucknow Super Giants,2,5,1,0,0,10,50.0,2.5
AS Roy,2025,Kolkata Knight Riders,1,0,0,0,0,1,0.0,0.0
SC Ganguly,2007/08,Kolkata Knight Riders,13,349,6,33,15,305,114.43,26.85
Mohammad Hafeez,2007/08,Kolkata Knight Riders,8,64,6,7,2,83,77.11,8.0
PA Patel,2007/08,Chennai Super Kings,13,297,6,41,3,295,100.68,22.85
D Salunkhe,2007/08,Rajasthan Royals,3,33,4,5,0,24,137.5,11.0
V Sehwag,2007/08,Delhi Daredevils,14,399,6,46,20,216,184.72,28.5
S Dhawan,2007/08,Delhi Daredevils,14,340,6,35,8,295,115.25,24.29
SM Pollock,2007/08,Mumbai Indians,8,147,6,12,8,111,132.43,18.38
M Kartik,2007/08,Kolkata Knight Riders,3,30,4,3,0,27,111.11,10.0
TM Srivastava,2007/08,Kings XI Punjab,2,8,3,0,0,10,80.0,4.0
Sohail Tanvir,2007/08,Rajasthan Royals,5,35,6,3,1,28,125.0,7.0
MM Patel,2007/08,Rajasthan Royals,1,0,0,0,0,1,0.0,0.0
U Kaul,2007/08,Kings XI Punjab,1,0,0,0,0,1,0.0,0.0
L Balaji,2007/08,Chennai Super Kings,1,0,0,0,0,4,0.0,0.0
Younis Khan,2007/08,Rajasthan Royals,1,3,1,0,0,7,42.86,3.0
SK Raina,2009,Chennai Super Kings,14,433,6,37,21,306,141.5,30.93
R Dravid,2009,Royal Challengers Bangalore,12,271,6,28,3,234,115.81,22.58
V Kohli,2009,Royal Challengers Bangalore,13,246,6,22,8,219,112.33,18.92
Kamran Khan,2009,Rajasthan Royals,1,3,2,0,0,5,60.0,3.0
RS Bopara,2009,Kings XI Punjab,5,138,6,8,7,119,115.97,27.6
AS Raut,2009,Rajasthan Royals,7,78,6,5,3,61,127.87,11.14
SS Tiwary,2009,Mumbai Indians,3,13,2,0,0,12,108.33,4.33
A Mishra,2009,Delhi Daredevils,5,26,6,2,2,20,130.0,5.2
WP Saha,2009,Kolkata Knight Riders,7,72,6,3,4,41,175.61,10.29
Shoaib Ahmed,2009,Deccan Chargers,3,1,1,0,0,6,16.67,0.33
DA Warner,2009,Delhi Daredevils,7,163,6,16,5,132,123.48,23.29
TL Suman,2009/10,Deccan Chargers,14,307,6,23,12,255,120.39,21.93
R Ashwin,2009/10,Chennai Super Kings,6,30,4,2,0,40,75.0,5.0
DP Nannes,2009/10,Delhi Daredevils,2,4,1,0,0,13,30.77,2.0
DR Martyn,2009/10,Rajasthan Royals,1,19,4,1,0,24,79.17,19.0
K Goel,2009/10,Kings XI Punjab,2,18,6,1,1,20,90.0,9.0
LRPL Taylor,2009/10,Royal Challengers Bangalore,7,88,6,2,6,75,117.33,12.57
MS Dhoni,2011,Chennai Super Kings,13,391,6,25,23,245,159.59,30.08
S Dhawan,2011,Deccan Chargers,14,400,6,47,7,309,129.45,28.57
AG Paunikar,2011,Rajasthan Royals,4,48,4,9,0,54,88.89,12.0
BB McCullum,2011,Kochi Tuskers Kerala,13,351,6,35,15,272,129.04,27.0
PA Patel,2011,Kochi Tuskers Kerala,13,202,6,25,2,182,110.99,15.54
DJ Jacobs,2011,Mumbai Indians,6,92,6,10,4,88,104.55,15.33
R McLaren,2011,Kings XI Punjab,4,90,6,7,1,96,93.75,22.5
MD Mishra,2011,Pune Warriors,5,67,6,5,2,60,111.67,13.4
MS Wade,2011,Delhi Daredevils,3,22,2,0,0,33,66.67,7.33
MR Marsh,2011,Pune Warriors,3,50,6,2,3,49,102.04,16.67
AB Agarkar,2011,Delhi Daredevils,1,6,4,1,0,5,120.0,6.0
MJ Lumb,2011,Deccan Chargers,1,0,0,0,0,2,0.0,0.0
DE Bollinger,2012,Chennai Super Kings,1,3,1,0,0,5,60.0,3.0
RV Uthappa,2012,Pune Warriors,16,404,6,38,10,342,118.13,25.25
AL Menaria,2012,Rajasthan Royals,12,214,6,14,7,200,107.0,17.83
KK Cooper,2012,Rajasthan Royals,4,37,6,3,3,19,194.74,9.25
RN ten Doeschate,2012,Kolkata Knight Riders,3,21,6,1,1,21,100.0,7.0
Shakib Al Hasan,2012,Kolkata Knight Riders,7,89,6,6,3,73,121.92,12.71
MK Tiwary,2013,Kolkata Knight Riders,9,146,6,12,1,140,104.29,16.22
TM Dilshan,2013,Royal Challengers Bangalore,5,75,4,12,0,92,81.52,15.0
RT Ponting,2013,Mumbai Indians,5,52,6,3,1,75,69.33,10.4
CL White,2013,Sunrisers Hyderabad,13,226,6,18,9,196,115.31,17.38
AM Nayar,2013,Pune Warriors,9,66,4,5,0,73,90.41,7.33
SK Raina,2013,Chennai Super Kings,17,546,6,50,18,364,150.0,32.12
AS Rajpoot,2013,Chennai Super Kings,1,2,2,0,0,6,33.33,2.0
BMAJ Mendis,2013,Delhi Daredevils,3,23,2,0,0,27,85.19,7.67
KM Jadhav,2013,Delhi Daredevils,10,148,6,7,5,123,120.33,14.8
AB de Villiers,2013,Royal Challengers Bangalore,14,373,6,34,17,223,167.26,26.64
R Rampaul,2013,Royal Challengers Bangalore,6,37,6,3,1,36,102.78,6.17
SMSM Senanayake,2013,Kolkata Knight Riders,3,10,2,0,0,16,62.5,3.33
J Syed Mohammad,2013,Royal Challengers Bangalore,2,10,4,1,0,13,76.92,5.0
LA Pomersbach,2013,Kings XI Punjab,3,58,6,5,1,59,98.31,19.33
S Dhawan,2013,Sunrisers Hyderabad,10,311,6,37,5,253,122.92,31.1
S Kaul,2013,Delhi Daredevils,1,7,2,0,0,9,77.78,7.0
RV Gomez,2013,Pune Warriors,1,4,4,1,0,1,400.0,4.0
PA Patel,2014,Royal Challengers Bangalore,12,205,6,30,1,185,110.81,17.08
S Dhawan,2014,Sunrisers Hyderabad,14,373,6,48,7,317,117.67,26.64
AM Rahane,2014,Rajasthan Royals,12,339,6,38,3,291,116.49,28.25
DS Kulkarni,2014,Rajasthan Royals,2,35,6,1,2,25,140.0,17.5
R Dhawan,2014,Kings XI Punjab,6,82,6,8,1,75,109.33,13.67
PP Chawla,2014,Kolkata Knight Riders,5,31,6,4,1,19,163.16,6.2
SP Narine,2014,Kolkata Knight Riders,4,10,2,0,0,14,71.43,2.5
S Anirudha,2014,Sunrisers Hyderabad,1,3,1,0,0,5,60.0,3.0
MA Agarwal,2015,Delhi Daredevils,10,213,6,23,7,176,121.02,21.3
KD Karthik,2015,Royal Challengers Bangalore,11,141,6,15,4,117,120.51,12.82
AN Ahmed,2015,Royal Challengers Bangalore,3,10,4,2,0,5,200.0,3.33
Iqbal Abdulla,2015,Royal Challengers Bangalore,2,20,4,4,0,17,117.65,10.0
MA Starc,2015,Royal Challengers Bangalore,3,11,4,1,0,14,78.57,3.67
DW Steyn,2015,Sunrisers Hyderabad,3,20,4,3,0,13,153.85,6.67
BE Hendricks,2015,Kings XI Punjab,1,1,1,0,0,2,50.0,1.0
SV Samson,2016,Delhi Daredevils,14,291,6,20,8,258,112.79,20.79
S Dube,2023,Chennai Super Kings,14,418,6,12,35,264,158.33,29.86
V Shankar,2023,Gujarat Titans,10,297,6,26,15,187,158.82,29.7
YBK Jaiswal,2023,Rajasthan Royals,14,619,6,83,25,381,162.47,44.21
SV Samson,2023,Rajasthan Royals,14,362,6,25,24,236,153.39,25.86
RG Sharma,2023,Mumbai Indians,16,326,6,35,16,248,131.45,20.38
Ishan Kishan,2023,Mumbai Indians,15,454,6,54,18,318,142.77,30.27
M Vohra,2016,Kings XI Punjab,7,161,6,19,3,131,122.9,23.0
BB McCullum,2016,Gujarat Lions,16,354,6,38,16,262,135.11,22.13
CH Gayle,2016,Royal Challengers Bangalore,10,227,6,17,21,150,151.33,22.7
SN Khan,2016,Royal Challengers Bangalore,4,66,6,7,4,31,212.9,16.5
KV Sharma,2016,Sunrisers Hyderabad,3,36,6,3,1,30,120.0,12.0
YK Pathan,2016,Kolkata Knight Riders,13,361,6,33,13,248,145.56,27.77
Sandeep Sharma,2016,Kings XI Punjab,4,8,1,0,0,9,88.89,2.0
KH Pandya,2016,Mumbai Indians,8,237,6,22,13,124,191.13,29.63
MJ Guptill,2016,Mumbai Indians,3,57,6,3,3,55,103.64,19.0
AP Tare,2016,Sunrisers Hyderabad,2,8,4,1,0,15,53.33,4.0
UT Khawaja,2016,Rising Pune Supergiants,6,127,6,14,3,99,128.28,21.17
GJ Bailey,2016,Rising Pune Supergiants,5,84,6,9,2,97,86.6,16.8
UBT Chand,2016,Mumbai Indians,1,0,0,0,0,4,0.0,0.0
TM Head,2017,Royal Challengers Bangalore,7,151,6,9,6,108,139.81,21.57
S Aravind,2017,Royal Challengers Bangalore,6,32,4,2,0,40,80.0,5.33
AJ Finch,2017,Gujarat Lions,13,300,6,25,19,182,164.84,23.08
HM Amla,2017,Kings XI Punjab,10,418,6,40,17,287,145.64,41.8
DR Smith,2017,Gujarat Lions,11,239,6,32,8,156,153.21,21.73
RV Uthappa,2017,Kolkata Knight Riders,13,388,6,36,21,235,165.11,29.85
YK Pathan,2017,Kolkata Knight Riders,11,143,6,9,6,115,124.35,13.0
DL Chahar,2017,Rising Pune Supergiant,1,14,6,0,2,6,233.33,14.0
MM Sharma,2017,Kings XI Punjab,7,51,6,4,1,50,102.0,7.29
JD Unadkat,2017,Rising Pune Supergiant,1,2,1,0,0,5,40.0,2.0
MJ Guptill,2017,Kings XI Punjab,7,126,6,17,4,87,144.83,18.0
Swapnil Singh,2017,Kings XI Punjab,2,12,2,0,0,19,63.16,6.0
CJ Jordan,2017,Sunrisers Hyderabad,1,0,0,0,0,1,0.0,0.0
DA Miller,2018,Kings XI Punjab,3,74,6,3,2,63,117.46,24.67
Q de Kock,2018,Royal Challengers Bangalore,8,201,6,20,8,162,124.07,25.13
JD Unadkat,2018,Rajasthan Royals,5,49,6,6,1,38,128.95,9.8
B Stanlake,2018,Sunrisers Hyderabad,1,5,4,1,0,2,250.0,5.0
PP Shaw,2018,Delhi Daredevils,9,245,6,27,10,160,153.13,27.22
JP Duminy,2018,Mumbai Indians,2,36,6,3,1,40,90.0,18.0
M Prasidh Krishna,2018,Kolkata Knight Riders,1,1,1,0,0,5,20.0,1.0
JPR Scantlebury-Searles,2018,Kolkata Knight Riders,2,8,6,0,1,6,133.33,4.0
UT Yadav,2019,Royal Challengers Bangalore,5,25,6,3,1,25,100.0,5.0
MA Agarwal,2019,Kings XI Punjab,13,332,6,26,14,234,141.88,25.54
SN Khan,2019,Kings XI Punjab,5,174,6,18,4,141,123.4,34.8
M Markande,2019,Mumbai Indians,1,6,4,1,0,5,120.0,6.0
GH Vihari,2019,Delhi Capitals,2,4,1,0,0,8,50.0,2.0
P Ray Barman,2019,Royal Challengers Bangalore,1,19,4,2,0,24,79.17,19.0
GC Viljoen,2019,Kings XI Punjab,3,3,2,0,0,7,42.86,1.0
Mohammad Nabi,2019,Sunrisers Hyderabad,7,115,6,8,7,77,149.35,16.43
HF Gurney,2019,Kolkata Knight Riders,1,1,1,0,0,5,20.0,1.0
JL Denly,2019,Kolkata Knight Riders,1,0,0,0,0,1,0.0,0.0
CR Brathwaite,2019,Kolkata Knight Riders,2,10,4,1,0,9,111.11,5.0
RK Bhui,2019,Sunrisers Hyderabad,1,7,2,0,0,12,58.33,7.0
Washington Sundar,2019,Royal Challengers Bangalore,2,1,1,0,0,3,33.33,0.5
SS Tiwary,2020/21,Mumbai Indians,5,103,6,8,3,80,128.75,20.6
RD Chahar,2020/21,Mumbai Indians,1,2,1,0,0,4,50.0,2.0
SO Hetmyer,2020/21,Delhi Capitals,11,183,6,11,12,124,147.58,16.64
JR Philippe,2020/21,Royal Challengers Bangalore,5,78,6,9,1,77,101.3,15.6
PK Garg,2020/21,Sunrisers Hyderabad,10,129,6,8,4,109,118.35,12.9
SPD Smith,2020/21,Rajasthan Royals,14,303,6,30,9,235,128.94,21.64
PJ Cummins,2020/21,Kolkata Knight Riders,10,146,6,9,8,114,128.07,14.6
KL Nagarkoti,2020/21,Kolkata Knight Riders,6,22,4,1,0,31,70.97,3.67
Mohammed Siraj,2020/21,Royal Challengers Bangalore,3,17,4,2,0,14,121.43,5.67
CV Varun,2020/21,Kolkata Knight Riders,3,10,2,0,0,15,66.67,3.33
SS Cottrell,2020/21,Kings XI Punjab,1,0,0,0,0,2,0.0,0.0
BA Stokes,2020/21,Rajasthan Royals,8,285,6,36,7,200,142.5,35.63
T Banton,2020/21,Kolkata Knight Riders,2,18,6,1,1,20,90.0,9.0
M Prasidh Krishna,2020/21,Kolkata Knight Riders,2,2,1,0,0,4,50.0,1.0
KA Pollard,2021,Mumbai Indians,13,243,6,16,16,164,148.17,18.69
EJG Morgan,2021,Kolkata Knight Riders,15,133,6,8,6,139,95.68,8.87
CH Gayle,2021,Punjab Kings,10,193,6,21,8,154,125.32,19.3
JA Richardson,2021,Punjab Kings,2,15,4,2,0,24,62.5,7.5
RD Chahar,2021,Mumbai Indians,4,14,4,1,0,15,93.33,3.5
DJ Bravo,2021,Chennai Super Kings,3,47,6,3,4,18,261.11,15.67
M Prasidh Krishna,2021,Kolkata Knight Riders,1,0,0,0,0,1,0.0,0.0
SN Thakur,2021,Chennai Super Kings,3,4,3,0,0,4,100.0,1.33
JJ Roy,2021,Sunrisers Hyderabad,5,150,6,21,1,120,125.0,30.0
AM Rahane,2022,Kolkata Knight Riders,7,133,6,14,4,128,103.91,19.0
V Kohli,2022,Royal Challengers Bangalore,16,341,6,32,8,294,115.99,21.31
A Manohar,2022,Gujarat Titans,7,108,6,14,3,75,144.0,15.43
D Brevis,2022,Mumbai Indians,7,161,6,14,11,113,142.48,23.0
SN Khan,2022,Delhi Capitals,5,91,6,9,2,67,135.82,18.2
MK Lomror,2022,Royal Challengers Bangalore,5,86,6,7,4,57,150.88,17.2
A Tomar,2022,Kolkata Knight Riders,1,4,4,1,0,8,50.0,4.0
Dhruv Jurel,2023,Rajasthan Royals,11,152,6,11,9,88,172.73,13.82
A Zampa,2023,Rajasthan Royals,3,10,1,0,0,16,62.5,3.33
Yudhvir Singh,2023,Lucknow Super Giants,2,1,1,0,0,2,50.0,0.5
Vijaykumar Vyshak,2023,Royal Challengers Bangalore,2,13,6,0,1,9,144.44,6.5
Sandeep Sharma,2023,Rajasthan Royals,2,2,1,0,0,6,33.33,1.0
