batter,season,batting_team,matches,total_runs,highest_score,fours,sixes,balls_faced,strike_rate,avg_per_match
Umran Malik,2022,Sunrisers Hyderabad,4,4,2,0,0,8,50.0,1.0
Ramandeep Singh,2022,Mumbai Indians,4,45,6,3,1,39,115.38,11.25
JDS Neesham,2022,Rajasthan Royals,2,31,4,3,0,27,114.81,15.5
KR Sen,2022,Rajasthan Royals,1,0,0,0,0,3,0.0,0.0
RK Singh,2022,Kolkata Knight Riders,7,174,6,17,7,117,148.72,24.86
J Suchith,2022,Sunrisers Hyderabad,2,2,1,0,0,8,25.0,1.0
KS Sharma,2022,Lucknow Super Giants,1,4,4,1,0,4,100.0,4.0
Anuj Rawat,2023,Royal Challengers Bangalore,7,91,6,6,4,71,128.17,13.0
AJ Hosein,2023,Sunrisers Hyderabad,1,16,6,1,1,10,160.0,16.0
Q de Kock,2023,Lucknow Super Giants,4,143,6,10,8,101,141.58,35.75
Vishnu Vinod,2023,Mumbai Indians,3,36,6,2,2,30,120.0,12.0
JE Root,2023,Rajasthan Royals,1,10,4,1,0,15,66.67,10.0
Mohammed Shami,2023,Gujarat Titans,2,5,4,1,0,6,83.33,2.5
Fazalhaq Farooqi,2023,Sunrisers Hyderabad,1,1,1,0,0,5,20.0,1.0
