bowler,season,bowling_team,matches,balls_bowled,runs_conceded,wickets,economy,bowling_avg,strike_rate
Ankit Sharma,2018,Rajasthan Royals,1,6,11,0,11.0,,
S Dube,2019,Royal Challengers Bangalore,2,10,7,0,4.2,,
N Rana,2019,Kolkata Knight Riders,6,48,70,3,8.75,23.33,16.0
AS Rajpoot,2019,Kings XI Punjab,4,96,138,3,8.63,46.0,32.0
CV Varun,2019,Kings XI Punjab,1,18,35,1,11.67,35.0,18.0
Mandeep Singh,2019,Kings XI Punjab,2,12,26,0,13.0,,
SL Malinga,2019,Mumbai Indians,12,269,427,16,9.52,26.69,16.81
JP Behrendorff,2019,Mumbai Indians,5,114,162,5,8.53,32.4,22.8
Y Prithvi Raj,2019,Kolkata Knight Riders,2,30,54,1,10.8,54.0,30.0
Ravi Bishnoi,2020/21,Kings XI Punjab,14,306,362,12,7.1,30.17,25.5
A Mishra,2020/21,Delhi Capitals,3,60,70,3,7.0,23.33,20.0
Kartik Tyagi,2020/21,Rajasthan Royals,10,229,351,9,9.2,39.0,25.44
VR Aaron,2020/21,Rajasthan Royals,3,48,83,0,10.38,,
CJ Green,2020/21,Kolkata Knight Riders,1,17,24,0,8.47,,
Monu Kumar,2020/21,Chennai Super Kings,1,12,14,0,7.0,,
CH Gayle,2020/21,Kings XI Punjab,1,5,5,0,6.0,,
MC Henriques,2021,Punjab Kings,5,60,44,4,4.4,11.0,15.0
Shivam Mavi,2021,Kolkata Knight Riders,9,193,217,11,6.75,19.73,17.55
DS Kulkarni,2021,Mumbai Indians,1,24,46,0,11.5,,
VR Iyer,2021,Kolkata Knight Riders,4,51,66,3,7.76,22.0,17.0
Shivam Mavi,2022,Kolkata Knight Riders,6,132,210,5,9.55,42.0,26.4
DJ Bravo,2022,Chennai Super Kings,10,206,275,16,8.01,17.19,12.88
SN Thakur,2022,Delhi Capitals,14,290,439,15,9.08,29.27,19.33
Basil Thampi,2022,Mumbai Indians,5,96,146,5,9.13,29.2,19.2
Mohsin Khan,2022,Lucknow Super Giants,9,198,185,14,5.61,13.21,14.14
Abhishek Sharma,2022,Sunrisers Hyderabad,3,24,38,0,9.5,,
M Jansen,2022,Sunrisers Hyderabad,8,192,261,7,8.16,37.29,27.43
Yash Dayal,2022,Gujarat Titans,9,192,281,11,8.78,25.55,17.45
Fazalhaq Farooqi,2022,Sunrisers Hyderabad,3,72,106,2,8.83,53.0,36.0
R Sai Kishore,2022,Gujarat Titans,5,96,119,6,7.44,19.83,16.0
KK Ahmed,2023,Delhi Capitals,9,198,281,9,8.52,31.22,22.0
T Natarajan,2023,Sunrisers Hyderabad,12,270,404,10,8.98,40.4,27.0
DJ Willey,2023,Royal Challengers Bangalore,4,90,101,3,6.73,33.67,30.0
Lalit Yadav,2023,Delhi Capitals,4,78,114,2,8.77,57.0,39.0
Naveen-ul-Haq,2023,Lucknow Super Giants,7,168,208,11,7.43,18.91,15.27
AB Dinda,2007/08,Kolkata Knight Riders,12,234,245,9,6.28,27.22,26.0
K Goel,2007/08,Kings XI Punjab,1,12,25,0,12.5,,
R Bhatia,2007/08,Delhi Daredevils,9,132,180,6,8.18,30.0,22.0
A Nehra,2007/08,Mumbai Indians,14,269,332,12,7.41,27.67,22.42
DJ Hussey,2007/08,Kolkata Knight Riders,5,78,129,2,9.92,64.5,39.0
DNT Zoysa,2007/08,Deccan Chargers,3,66,93,2,8.45,46.5,33.0
Shoaib Malik,2007/08,Delhi Daredevils,5,51,76,2,8.94,38.0,25.5
CRD Fernando,2007/08,Mumbai Indians,5,120,151,10,7.55,15.1,12.0
AD Mascarenhas,2007/08,Rajasthan Royals,1,24,27,2,6.75,13.5,12.0
DR Smith,2007/08,Mumbai Indians,4,66,76,5,6.91,15.2,13.2
R Vinay Kumar,2009,Royal Challengers Bangalore,11,194,266,9,8.23,29.56,21.56
VRV Singh,2009,Kings XI Punjab,4,54,82,1,9.11,82.0,54.0
I Sharma,2009,Kolkata Knight Riders,11,258,274,11,6.37,24.91,23.45
Yuvraj Singh,2009,Kings XI Punjab,9,120,141,6,7.05,23.5,20.0
AM Nayar,2009,Mumbai Indians,4,72,79,4,6.58,19.75,18.0
WPUJC Vaas,2009,Deccan Chargers,2,48,61,4,7.63,15.25,12.0
MF Maharoof,2009,Delhi Daredevils,3,60,58,4,5.8,14.5,15.0
ST Jayasuriya,2009/10,Mumbai Indians,4,54,63,2,7.0,31.5,27.0
IK Pathan,2009/10,Kings XI Punjab,14,278,414,15,8.94,27.6,18.53
RS Gavaskar,2009/10,Kolkata Knight Riders,1,6,8,0,8.0,,
A Kumble,2009/10,Royal Challengers Bangalore,16,380,385,17,6.08,22.65,22.35
MB Parmar,2009/10,Kolkata Knight Riders,1,18,32,0,10.67,,
JP Duminy,2009/10,Mumbai Indians,2,33,37,1,6.73,37.0,33.0
SK Trivedi,2011,Rajasthan Royals,12,214,284,10,7.96,28.4,21.4
AC Thomas,2011,Pune Warriors,11,231,287,11,7.45,26.09,21.0
VR Aaron,2011,Delhi Daredevils,3,72,77,2,6.42,38.5,36.0
DS Kulkarni,2011,Mumbai Indians,6,120,141,5,7.05,28.2,24.0
KA Pollard,2012,Mumbai Indians,14,263,327,16,7.46,20.44,16.44
JA Morkel,2012,Chennai Super Kings,15,297,367,13,7.41,28.23,22.85
AB McDonald,2012,Royal Challengers Bangalore,3,60,60,5,6.0,12.0,12.0
M Muralitharan,2012,Royal Challengers Bangalore,10,240,255,15,6.38,17.0,16.0
AD Mascarenhas,2012,Kings XI Punjab,4,96,104,7,6.5,14.86,13.71
A Nehra,2012,Pune Warriors,13,288,392,11,8.17,35.64,26.18
AUK Pathan,2012,Royal Challengers Bangalore,1,6,14,0,14.0,,
AD Russell,2012,Delhi Daredevils,4,96,159,1,9.94,159.0,96.0
AG Murtaza,2012,Pune Warriors,1,12,11,0,5.5,,
R Bhatia,2013,Kolkata Knight Riders,15,263,327,11,7.46,29.73,23.91
Harbhajan Singh,2013,Mumbai Indians,19,420,439,24,6.27,18.29,17.5
Azhar Mahmood,2013,Kings XI Punjab,11,263,326,15,7.44,21.73,17.53
GH Vihari,2013,Sunrisers Hyderabad,5,36,37,1,6.17,37.0,36.0
JO Holder,2013,Chennai Super Kings,6,120,163,2,8.15,81.5,60.0
AN Ahmed,2013,Mumbai Indians,2,42,45,3,6.43,15.0,14.0
Z Khan,2013,Royal Challengers Bangalore,2,36,45,5,7.5,9.0,7.2
VR Aaron,2014,Royal Challengers Bangalore,10,220,277,16,7.55,17.31,13.75
S Kaul,2014,Delhi Daredevils,5,78,122,2,9.38,61.0,39.0
