bowler,season,bowling_team,matches,balls_bowled,runs_conceded,wickets,economy,bowling_avg,strike_rate
AD Mathews,2012,Pune Warriors,9,156,189,7,7.27,27.0,22.29
V Pratap Singh,2012,Deccan Chargers,9,204,289,10,8.5,28.9,20.4
STR Binny,2012,Rajasthan Royals,6,60,78,3,7.8,26.0,20.0
DP Nannes,2013,Chennai Super Kings,5,119,145,4,7.31,36.25,29.75
MR Marsh,2013,Pune Warriors,7,116,176,7,9.1,25.14,16.57
R Sathish,2013,Kings XI Punjab,3,24,51,0,12.75,,
V Sehwag,2013,Delhi Daredevils,1,6,9,0,9.0,,
S Narwal,2013,Kolkata Knight Riders,1,12,15,0,7.5,,
AC Gilchrist,2013,Kings XI Punjab,1,1,0,1,0.0,0.0,1.0
Harbhajan Singh,2014,Mumbai Indians,14,330,350,14,6.36,25.0,23.57
LMP Simmons,2014,Mumbai Indians,1,18,34,1,11.33,34.0,18.0
MK Tiwary,2014,Delhi Daredevils,1,12,28,0,14.0,,
BE Hendricks,2014,Kings XI Punjab,3,72,119,4,9.92,29.75,18.0
JO Holder,2014,Sunrisers Hyderabad,1,18,23,1,7.67,23.0,18.0
AD Russell,2015,Kolkata Knight Riders,13,244,312,14,7.67,22.29,17.43
CJ Anderson,2015,Mumbai Indians,2,24,33,1,8.25,33.0,24.0
Imran Tahir,2015,Delhi Daredevils,10,213,297,15,8.37,19.8,14.2
A Nehra,2015,Chennai Super Kings,16,372,436,22,7.03,19.82,16.91
NLTC Perera,2015,Kings XI Punjab,2,36,54,1,9.0,54.0,36.0
P Negi,2015,Chennai Super Kings,10,180,249,6,8.3,41.5,30.0
RN ten Doeschate,2015,Kolkata Knight Riders,1,6,3,0,3.0,,
CH Gayle,2015,Royal Challengers Bangalore,1,12,14,0,7.0,,
